signal_label,panel,source_signal,source_channel,num_samples,num_channels,csv_path,conversion_note
src1_y,Y signals,src1_y,1,1860,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Ybis_rep2_2026-08-13_23-02-19\Moving_Ybis_Scope_Y_data_rep2\csv\01_src1_y.csv,time_dim_last [1     1  1860]
src2_y,Y signals,src2_y,1,1860,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Ybis_rep2_2026-08-13_23-02-19\Moving_Ybis_Scope_Y_data_rep2\csv\09_src2_y.csv,time_dim_last [1     1  1860]
pred1_y,Y signals,pred1_y,1,1860,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Ybis_rep2_2026-08-13_23-02-19\Moving_Ybis_Scope_Y_data_rep2\csv\17_pred1_y.csv,time_dim_last [1     1  1860]
pred2_y,Y signals,pred2_y,1,1860,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Ybis_rep2_2026-08-13_23-02-19\Moving_Ybis_Scope_Y_data_rep2\csv\25_pred2_y.csv,time_dim_last [1     1  1860]
fused_y,Y signals,fused_y,1,1860,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Ybis_rep2_2026-08-13_23-02-19\Moving_Ybis_Scope_Y_data_rep2\csv\33_fused_y.csv,time_dim_last [1     1  1860]
safe_y,Y signals,safe_y,1,1860,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Ybis_rep2_2026-08-13_23-02-19\Moving_Ybis_Scope_Y_data_rep2\csv\41_safe_y.csv,time_dim_last [1     1  1860]
safe_to_drive,Safety,Mux_Safety_Status:1,4,1860,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Ybis_rep2_2026-08-13_23-02-19\Moving_Ybis_Scope_Y_data_rep2\csv\49_safe_to_drive.csv,time_dim_first [1860     8]
safe_speed_norm,Safety,Mux_Safety_Status:1,8,1860,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Ybis_rep2_2026-08-13_23-02-19\Moving_Ybis_Scope_Y_data_rep2\csv\57_safe_speed_norm.csv,time_dim_first [1860     8]
