signal_label,panel_index,panel_title,matched,signal_id,csv_file,status
src1_x,1,,1,62694,src1_x.csv,ok
src2_x,1,,1,62690,src2_x.csv,ok
pred1_x,1,,1,62686,pred1_x.csv,ok
pred2_x,1,,1,62682,pred2_x.csv,ok
fused_x,1,,1,62678,fused_x.csv,ok
safe_X,1,,1,62674,safe_X.csv,ok
safe_to_drive,2,,0,0,,not_found
safe_speed_norm,2,,0,0,,not_found
