signal_index,signal_name,block_path,num_channels,num_samples,csv_path,png_path,conversion_note
17,Mux1(1),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\017_Mux1_1_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\017_Mux1_1_.png,vector
18,Mux2:1,ESP32_UDP_UART_Bridge/Subsystem/Mux2,6,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\018_Mux2_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\018_Mux2_1.png,time_dim_first [2858     6]
19,Mux_Trajectory_X:1,ESP32_UDP_UART_Bridge/Subsystem/Mux_Trajectory_X,6,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\019_Mux_Trajectory_X_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\019_Mux_Trajectory_X_1.png,time_dim_first [2858     6]
20,Mux_Trajectory_X(1),ESP32_UDP_UART_Bridge/Subsystem/XY_All_Trajectories,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\020_Mux_Trajectory_X_1_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\020_Mux_Trajectory_X_1_.png,vector
21,Mux:1,ESP32_UDP_UART_Bridge/Mux,6,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\021_Mux_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\021_Mux_1.png,time_dim_first [2858     6]
22,Selector4:1,ESP32_UDP_UART_Bridge/Selector4,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\022_Selector4_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\022_Selector4_1.png,time_dim_last [1     1  2858]
23,Selector4,ESP32_UDP_UART_Bridge/To Workspace2,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\023_Selector4.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\023_Selector4.png,time_dim_last [1     1  2858]
24,Mux3:1(1),ESP32_UDP_UART_Bridge/Subsystem/Mux3,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\024_Mux3_1_1_.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\024_Mux3_1_1_.png,vector
25,MATLAB Function5:1,ESP32_UDP_UART_Bridge/MATLAB Function5,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\025_MATLABFunction5_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\025_MATLABFunction5_1.png,vector
26,MATLAB Function5:2,ESP32_UDP_UART_Bridge/MATLAB Function5,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\026_MATLABFunction5_2.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\026_MATLABFunction5_2.png,vector
27,MATLAB Function5:3,ESP32_UDP_UART_Bridge/MATLAB Function5,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\027_MATLABFunction5_3.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\027_MATLABFunction5_3.png,vector
28,MATLAB Function5:4,ESP32_UDP_UART_Bridge/MATLAB Function5,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\028_MATLABFunction5_4.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\028_MATLABFunction5_4.png,vector
29,MATLAB Function5:5,ESP32_UDP_UART_Bridge/MATLAB Function5,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\029_MATLABFunction5_5.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\029_MATLABFunction5_5.png,vector
30,MATLAB Function5:6,ESP32_UDP_UART_Bridge/MATLAB Function5,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\030_MATLABFunction5_6.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\030_MATLABFunction5_6.png,vector
31,MATLAB Function5:7,ESP32_UDP_UART_Bridge/MATLAB Function5,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\031_MATLABFunction5_7.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\031_MATLABFunction5_7.png,vector
32,safe_X,ESP32_UDP_UART_Bridge/Subsystem/SEL_safe_x,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\032_safe_X.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\032_safe_X.png,time_dim_last [1     1  2858]
33,fused_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_fused_x,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\033_fused_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\033_fused_x.png,time_dim_last [1     1  2858]
34,pred2_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred2_x,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\034_pred2_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\034_pred2_x.png,time_dim_last [1     1  2858]
35,pred1_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred1_x,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\035_pred1_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\035_pred1_x.png,time_dim_last [1     1  2858]
36,src2_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_src2_x,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\036_src2_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\036_src2_x.png,time_dim_last [1     1  2858]
37,src1_x,ESP32_UDP_UART_Bridge/Subsystem/SEL_src1_x,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\037_src1_x.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\037_src1_x.png,time_dim_last [1     1  2858]
38,safe_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_safe_yaw_u,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\038_safe_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\038_safe_yaw_u.png,time_dim_last [1     1  2858]
39,fused_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_fused_yaw_u,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\039_fused_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\039_fused_yaw_u.png,time_dim_last [1     1  2858]
40,pred2_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred2_yaw_u,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\040_pred2_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\040_pred2_yaw_u.png,time_dim_last [1     1  2858]
41,pred1_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred1_yaw_u,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\041_pred1_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\041_pred1_yaw_u.png,time_dim_last [1     1  2858]
42,src2_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_src2_yaw_u,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\042_src2_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\042_src2_yaw_u.png,time_dim_last [1     1  2858]
43,src1_yaw_u,ESP32_UDP_UART_Bridge/Subsystem/SEL_src1_yaw_u,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\043_src1_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\043_src1_yaw_u.png,time_dim_last [1     1  2858]
44,safe_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_safe_y,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\044_safe_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\044_safe_y.png,time_dim_last [1     1  2858]
45,fused_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_fused_y,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\045_fused_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\045_fused_y.png,time_dim_last [1     1  2858]
46,pred2_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred2_y,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\046_pred2_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\046_pred2_y.png,time_dim_last [1     1  2858]
47,pred1_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_pred1_y,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\047_pred1_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\047_pred1_y.png,time_dim_last [1     1  2858]
48,src2_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_src2_y,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\048_src2_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\048_src2_y.png,time_dim_last [1     1  2858]
49,src1_y,ESP32_UDP_UART_Bridge/Subsystem/SEL_src1_y,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\049_src1_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\049_src1_y.png,time_dim_last [1     1  2858]
50,Selector8:1,ESP32_UDP_UART_Bridge/Selector8,1,2858,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\csv\050_Selector8_1.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes\Moving_X_rep1_2026-08-13_21-41-54\png\050_Selector8_1.png,time_dim_last [1     1  2858]
