signal_label,panel,source_signal,source_channel,num_samples,num_channels,csv_path,conversion_note
active_sources_mask,Fusion status,Mux_Fusion_Status:1,5,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\81_active_sources_mask.csv,time_dim_first [1364     6]
candidate_sources_mask,Fusion status,Mux_Fusion_Status:1,6,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\89_candidate_sources_mask.csv,time_dim_first [1364     6]
pose_valid,Safety status,Mux_Safety_Status:1,1,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\97_pose_valid.csv,time_dim_first [1364     8]
deadman_out,Safety status,Mux_Safety_Status:1,2,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\105_deadman_out.csv,time_dim_first [1364     8]
move_en_out,Safety status,Mux_Safety_Status:1,3,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\113_move_en_out.csv,time_dim_first [1364     8]
safe_to_drive,Safety status,Mux_Safety_Status:1,4,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\121_safe_to_drive.csv,time_dim_first [1364     8]
hold_mode,Safety status,Mux_Safety_Status:1,5,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\129_hold_mode.csv,time_dim_first [1364     8]
soft_decay,Safety status,Mux_Safety_Status:1,6,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\137_soft_decay.csv,time_dim_first [1364     8]
hard_stop,Safety status,Mux_Safety_Status:1,7,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\145_hard_stop.csv,time_dim_first [1364     8]
safe_speed_norm,Safety status,Mux_Safety_Status:1,8,1364,1,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Y\Moving_Y_rep2_2026-08-13_22-47-59\Moving_Y_Scope_Control_data_rep2\csv\153_safe_speed_norm.csv,time_dim_first [1364     8]
