scope_folder,panel_index,panel_title,signal_label,reason
Moving_X_Scope_Yaw_Wrapped_rep2,2,,safe_to_drive,not_found
Moving_X_Scope_Yaw_Wrapped_rep2,2,,safe_speed_norm,not_found
