scope_folder,panel_index,panel_title,signal_label,matched,signal_id,csv_path,png_light_path,png_dark_path,status
Moving_X_Scope_Y_data_rep2,1,,pred2_y,1,62730,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\csv\pred2_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope_dark.png,ok
Moving_X_Scope_Y_data_rep2,1,,fused_y,1,62726,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\csv\fused_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope_dark.png,ok
Moving_X_Scope_Y_data_rep2,1,,safe_y,1,62722,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\csv\safe_y.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Y_data_rep2\png\Moving_X_Scope_Y_data_rep2_scope_dark.png,ok
Moving_X_Scope_Y_data_rep2,2,,safe_to_drive,0,0,,,,not_found
Moving_X_Scope_Y_data_rep2,2,,safe_speed_norm,0,0,,,,not_found
Moving_X_Scope_Yaw_Wrapped_rep2,1,,src1_yaw_u,1,62718,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\csv\src1_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope_dark.png,ok
Moving_X_Scope_Yaw_Wrapped_rep2,1,,src2_yaw_u,1,62714,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\csv\src2_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope_dark.png,ok
Moving_X_Scope_Yaw_Wrapped_rep2,1,,pred1_yaw_u,1,62710,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\csv\pred1_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope_dark.png,ok
Moving_X_Scope_Yaw_Wrapped_rep2,1,,pred2_yaw_u,1,62706,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\csv\pred2_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope_dark.png,ok
Moving_X_Scope_Yaw_Wrapped_rep2,1,,fused_yaw_u,1,62702,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\csv\fused_yaw_u.csv,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope.png,C:\Users\mateu\Desktop\Mgr\logs\HIL_Scopes_Grouped\Moving_X_rep2_2026-08-13_22-09-21\Moving_X_Scope_Yaw_Wrapped_rep2\png\Moving_X_Scope_Yaw_Wrapped_rep2_scope_dark.png,ok
